,0
10,"You said that we would always be
Without you, I feel lost at sea
Through the darkness, you'd hide with me
Like the wind, we'd be wild and free</p>,You said you'd follow me anywhere
But your eyes tell me you won't be there</p>,I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle, and I'm just about to
Figure it out without you</p>,And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm going Bonnie and Clyde without you</p>,Now I'm running away, my dear
From myself and the truth I fear
My heart is beating, I can't see clear
How I'm wishing that you were here</p>,You said you'd follow me anywhere
But your eyes tell me you won't be there</p>,I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle, and I'm just about to
Figure it out without you</p>,And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm going Bonnie and Clyde without you</p>"
11,"[Verse 1: Maren Morris]
Take a seat
Right over there, sat on the stairs
Stay or leave
The cabinets are bare and I'm unaware
Of just how we got into this mess
Got so aggressive
I know we meant
All good intentions</p>,[Pre-Chorus: Maren Morris]
So pull me closer
Why don't you pull me close
Why don't you come on over
I can't just let you go</p>,[Chorus: Maren Morris]
Oh baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle</p>,[Verse 2: Maren Morris]
Take a step
Back for a minute, into the kitchen
Floors are wet
And taps are still running, dishes are broken
How did we get into this mess
Got so aggressive
I know we meant
All good intentions</p>,[Pre-Chrous: Maren Morris]
So pull me closer
Why don't you pull me close
Why don't you come on over
I can't just let you go</p>,[Chorus: Maren Morris]
Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle</p>,[Bridge: Maren Morris]
Looking at you I can't lie
Just pouring out admission
Regardless my objection
And it's not about my pride
I need you on my skin just
Come over, pull me in just</p>,[Pre-Chorus: Maren Morris]
Oh, Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle, no no</p>,[Chorus: Maren Morris]
Baby
Why don't you just meet me in the middle
I'm losing my mind just a little
So why don't you just meet me in the middle
In the middle
Baby
Why don't you just meet me in the middle
Baby, I'm losing my mind just a little
So why don't you just meet me in the middle, middle
In the middle, middle</p>"
12,"I'm jealous of the rain
That falls upon your skin
It's closer than my hands have been
I'm jealous of the rain
I'm jealous of the wind
That ripples through your clothes
It's closer than your shadow
Oh, I'm jealous of the wind, cause</p>,I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me</p>,I'm jealous of the nights
That I don't spend with you
I'm wondering who you lay next to
Oh, I'm jealous of the nights
I'm jealous of the love
Love that was in here
Gone for someone else to share
Oh, I'm jealous of the love, cause</p>,I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me</p>,As I sink in the sand
Watch you slip through my hands
Oh, as I die here another day
Cause all I do is cry behind this smile</p>,I wished you the best of
All this world could give
And I told you when you left me
There's nothing to forgive
But I always thought you'd come back, tell me all you found was
Heartbreak and misery
It's hard for me to say, I'm jealous of the way
You're happy without me</p>,It's hard for me to say, I'm jealous of the way
You're happy without me</p>"
13,"Lost in your mind
I wanna know
Am I losing my mind?
Never let me go</p>,If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone</p>,Anywhere, whenever
Apart, but still together
I know I'm not alone
I know I'm not alone</p>,I know I'm not alone
I know I'm not alone</p>,Unconscious mind
I'm wide awake
Wanna feel one last time
Take my pain away</p>,If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone</p>,Anywhere, whenever
Apart, but still together
I know I'm not alone
I know I'm not alone</p>,I know I'm not alone
I know I'm not alone</p>,I'm not alone, I'm not alone, I'm not alone
I know I'm not alone
I'm not alone, I'm not alone, I'm not alone
I know I'm not alone</p>"
14,"Eh!</p>,Rise up</p>,Don't you fall down again
Rise up
It's time we break the chains
I tried to fly
No lie
So high</p>,Direction: sky!</p>,I tried to fly
No lie
So high
Up to the sky!
My dream is to fly
Over the rainbow, so high!</p>,My dream is to fly</p>,Over the rainbow, so high!
My dream is to fly
Over the rainbow, so high!
My dream is to fly
Over the rainbow, so high!</p>,Eh...</p>,Rise up
We'll shake it well
Rise up
Makes me feel pain
'Cause I like to fly
No lie</p>,So high</p>,Direction: sky!
'Cause I like to fly
No lie
So high
Up to the sky
My dream is to fly
Over the rainbow, so high!
My dream is to fly
Over the rainbow, so high!
My dream is to fly
Over the rainbow, so high!
Rise up, rise up, rise up, rise up
Above the rain-
Rise up, rise up, rise up, rise up
For my mind and my brain
I tried to fly
No lie
So high
Up to the sky
Eh!
My dream is to fly
Over the rainbow, so high
My dream is to fly
Over the rainbow, so high
My dream is to fly
Over the rainbow, so high
My dream is to fly
Over the rainbow, so high
Eh!
Email
Print
Write my explanationnew
Explanations
Meanings</p>"
15,"Bad boys, whatcha want
Watcha want, whatcha gonna do?
When sheriff John Brown come for you
Tell me whatcha wanna do, whatcha gonna do?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,When you were eight and you had bad traits
You go to school and learn the golden rule
So why are you acting like a bloody fool?
If you get hot, you must get cool</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,You chuck it on that one
You chuck it on this one
You chuck it on your mother
And you chuck it on your father</p>,You chuck it on your brother
And you chuck it on your sister
You chuck it on that one
And you chuck it on me</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Nobody now give you no break
Police now give you no break
Not soldier man give you no break
Not even you idren now give you no breaks</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,Why did you have to act so mean?
Don't you know you're human being?
Born of a mother with the love of a father
Reflections come and reflections go
I know sometimes you wanna let go
I know sometimes you want to let go</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>,You're too bad, you're too rude
You're too bad, you're too rude</p>,Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?
You chuck it on that one
You chuck it on this one
You chuck it on your mother
And you chuck it on your father
You chuck it on your brother
And you chuck it on your sister
You chuck it on that one
And you chuck it on me
Bad boys, bad boys whatcha gonna do?
Whatcha gonna do when they come for you?</p>"
16,"[Intro: Mr Eazi]
Rudimental
Major Lazer</p>,[Verse 1: Anne-Marie]
As I walk through the world, ah
So many things I see, uh-huh
And then I say to myself ""It's never as it seems""
'Cause I am the one, I rule my world
Nobody rule my destiny
'Cause you are the one, you rule your world
No bad man own your destiny</p>,[Chorus 1: Anne-Marie]
Leave me alone, let me live my life
Leave me alone, let me live it up, live it up
Leave me alone, make I live my life
Leave me alone, make I live it up, live it up
Leave me alone, let me-</p>,[Verse 2: Anne-Marie]
Are we losing control, or is it meant to be, uh-huh?
Now I've opened my mind, come and set me free
'Cause I am the one, I rule my world
Nobody rule my destiny
'Cause you are the one, you rule your world
No bad man own your destiny</p>,[Chorus 1: Anne-Marie]
Leave me alone, let me live my life
Leave me alone, let me live it up, live it up
Leave me alone, make I live my life
Leave me alone, make I live it up, live it up
Leave me alone, let me live my life
Leave me alone, let me live it up, live it up
Leave me alone, make I live my life
Leave me alone, make I live it up, live it up
Leave me alone, let me-</p>,[Post-Chorus 1: Anne-Marie]
Why don't you leave me alone
Yeah, yeah</p>,[Verse 3: Mr Eazi]
I will do anything I like
I will sip anything I like
E be me way I get my life
E be me way I get my life
I no say it's alright
I'mma catch some vibes tonight
Everyday, every night, everyday
Feel the love yo</p>,[Chorus 2: Anne-Marie, Mr Eazi &amp; Anne-Marie]
Enjoy everyday
Enjoy da da
Enjoy your life
Enjoy everyday
Enjoy da da
Enjoy everyday
Enjoy da da
Enjoy your life
Enjoy everyday</p>,[Post-Chorus 2: Anne-Marie]
Why don't you live your life, yeah
And I'll go live mine</p>,[Chorus 1: Anne-Marie]
Leave me alone, let me live my life
Leave me alone, let me live it up, live it up
Leave me alone, make I live my life (live my life)
Leave me alone, make I live it up, live it up (and I will go live mine)
Leave me alone, let me-</p>,[Chorus 2: Anne-Marie, Mr Eazi &amp; Anne-Marie]
Enjoy everyday
Enjoy da da
Enjoy your life
Enjoy everyday
Enjoy da da
Enjoy everyday
Enjoy da da
Enjoy your life
Enjoy everyday</p>"
17,"Call it love and devotion
Call it a mom's adoration
Foundation
A special bond of creation, hah
For all the single moms out there
Going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear</p>,She works the nights, by the water
She's gonna stress, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him
(Daily struggle)</p>,She tells him, ""Oh, love, no one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you""
(Stay out there, stay out there)</p>,She tells him, ""Your life ain't gonna be nothing like my life
You're gonna grow and have a good life
I'm gonna do what I've got to do""
(Stay out there, stay out there)</p>,So, Rockabye baby, Rockabye
I'm gonna rock you
Rockabye baby, don't you cry
Somebody's got you
Rockabye baby, Rockabye
I'm gonna rock you
Rockabye baby, don't you cry
Rockabye, no</p>,Rockabye-rocka-rocka-rocka-bye
(Rockabye, yeah oh oh)
Rockabye-rocka-rocka-rocka-bye</p>,Single mama you doing out there
Facing the hard life, without no fear (Yeah)
Just so you know that you really care
Cause any obstacle come you're well prepared (Oh no)
And no mama, you never shed tear
Cause you have to shed things year after year
And you give the youth love beyond compare (Yeah)
You find his school fee and the bus fare (Yeah)
Mmm Marie, the paps' disappear
In the round back can't find him nowhere
Steadily you work flow, everything you know
You know say you nuh stop the time fi a jear</p>,Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe</p>,When she says ""oh, love, no one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you""</p>,So, Rockabye baby, Rockabye
I'm gonna rock you
Rockabye baby, don't you cry
Somebody's got you
Rockabye baby, Rockabye
I'm gonna rock you
Rockabye baby, don't you cry
(Oh-badda-bang-bang-bang, alright then)
Rockabye, no</p>,Rockabye-rocka-rocka-rocka-bye
(Rockabye, yeah oh oh)
Rockabye-rocka-rocka-rocka-bye</p>,Rockabye, don't bother cry
Lift up your head, lift it up to the sky
Rockabye, don't bother cry
Angels surround you, just dry your eye</p>,Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe when she says</p>,She tells him, ""Oh, love, no one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you""
(Stay out there, stay out there)</p>,She tells him, ""Your life ain't gonna be nothing like my life (stay)
You're gonna grow and have a good life
I'm gonna do what I've got to do""
(Stay out there, stay out there)</p>,So, Rockabye baby, Rockabye
(Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye baby, don't you cry
(Rockabye-rocka-rocka-rocka-bye)
Somebody's got you
Rockabye baby, Rockabye
(Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye baby, don't you cry
(Oh-badda-bang-bang-bang, alright then)
Rockabye</p>,Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Rockabye)
Rockabye, don't bother cry (Yeah)
Angels surround you, just dry your eye (Yeah)</p>,Rockabye, don't bother cry (No)
Lift up your head, lift it up to the sky (Oh)
Rockabye, don't bother cry
Angels surround you, just dry your eye</p>"
18,"Hop back to my heart
The only place I feel alone
I need the foreign soil</p>,Sun rising under my feet
These kids are out here
They are my family</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun</p>,Don't stop, you got to move
Keep moving on, moving on
I'm never gonna stop</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun
I'm gonna follow the sun
I'm gonna follow the sun</p>,Don't stop, you got to move
Keep moving on, moving on
I'm never gonna stop</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun
Folllow the sun</p>,oh, oh, oh
oh, oh, oh
oh, oh, oh</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun</p>,Don't stop, you got to move
Keep moving on, keep moving on
I'm never gonna stop</p>,Now I'm gonna tell my momma
That I'm a traveller
I'm gonna follow the sun
I'm gonna follow the sun
I'm gonna follow the sun
I'm gonna follow the sun
I'm gonna follow the sun</p>,oh, oh, oh
oh, oh, oh
oh, oh, oh
oh, oh, oh
oh, oh, oh
oh, oh, oh</p>,Folllow the sun</p>"
19,"Gol gol gallan
Gallan kar diyan gol gol
Gol gol gallan
Gallan kar diyan gol gol</p>,Mainu kehndi mill lo na
Mil lo na, mil lo na
Oh mainu kehndi mil lo na
Par time ni mittran kol
Time ni mitran kol
Par time ni mitran kol
time ni... time ni... time ni...</p>,Mill lo na, mill lo na (x4)</p>,Ni tu sochi na ki jatt pyar nai karda
Ni tu sochi na ki jatt pyar nai karda
Hill gaya tere piche ghum ghum ke
Hill gaya tere piche ghum ghum ke</p>,Ni tu sochi na ki jatt pyar nai karda
Hill gaya tere piche ghum ghum ke
Kal 3-4 phaad diyan baby
Photo'aan teriyan chum chum ke</p>,Ni agg barabar laggi ae
Bhavein feeling'aan nu le dho</p>,Mainu kehndi mill lo na
Mill lo na, mill lo na
Oh mainu kehndi mill lo na
Par time ni mittran kol
Gol gol gallan
Gallan kar diyan gol gol</p>,Main yaaran beliyan de naal busy nakhro
Leya na tu kar mainu easy nakhro
Pyar mainu kardi aa beshak ni
Kareya na kar kam cheesy nakhro
Cheesy nakhro...</p>,Ho naam Jaani ae Jaani
Akalaan de kunde khol</p>,Mainu kehndi mill lo na
Mill lo na, mill lo na
Oh mainu kehndi mil lo na
Par time ni mitran kol
Gol gol gallan
Gallan kar diyan gol gol</p>,Kar diyan gol gol (x3)</p>,Mill lo na, mill lo na (x4)</p>,Muzical Doctorz</p>"
20,"I need your love
I need your time
When everything's wrong
You make it right
I feel so high
I come alive
I need to be free with you tonight
I need your love</p>,I need your love</p>,I take a deep breath every time I pass your door
I know you're there, but I can't see you anymore
And that's the reason you're in the dark
I've been a stranger ever since we fell apart</p>,And I feel so helpless here
Watch my eyes are filled with fear
Tell me, do you feel the same?
Hold me in your arms again</p>,I need your love
I need your time
When everything's wrong
You make it right
I feel so high
I come alive
I need to be free with you tonight
I need your love</p>,I need your love</p>,Now I'm dreaming, will I ever find you now?
I walk in circles, but I'll never figure out
What I mean to you, do I belong?
I try to fight this, but I know I'm not that strong</p>,And I feel so helpless here
Watch my eyes are filled with fear
Tell me, do you feel the same?
Hold me in your arms again</p>,I need your love
I need your time
When everything's wrong
You make it right
I feel so high
I come alive
I need to be free with you tonight
I need your love</p>,I need your love</p>,All the years
All the times
You have never been to blame
And now my eyes are open
And now my heart is closing</p>,And all the tears
All the lies
All the waste
I've been trying to make a change
And now my eyes are open</p>,I need your love
I need your time
When everything's wrong
You make it right
I feel so high
I come alive
I need to be free</p>"
21,"Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>,Happy days are here again
The time is right for makin' friends
Let's get together, how 'bout a quarter to ten
Come tomorrow, let's all do it again</p>,Boys will be boys, better let them have their toys
Girls will be girls, cute pony tails and curls
Must put an end to this stress and strife
I think I want to live the sporting life</p>,Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>,A rumor has it that it's getting late
Time marches on, just can't wait
The clock keeps turning, why hesitate
You silly fool, you can't change your fate</p>,Let's cut the rug, little jive and jitterbug
We want the best, we won't settle for less
Don't be a drag, participate
Clams on the half shell and roller skates, roller skates</p>,Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>,A rumor has it that it's getting late
Time marches on, just can't wait
The clock keeps turning, why hesitate
You silly fool, you can't change your fate</p>,Let's cut the rug, little jive and jitterbug
We want the best, we won't settle for less
Don't be a drag, participate
Clams on the half shell and roller skates, roller skates</p>,Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>,Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>,Good times, these are the good times
Leave your cares behind, these are the good times
Good times, these are the good times
Our new state of mind, these are the good times</p>"
22,"Do you recall, not long ago
We would walk on the sidewalk?
Innocent, remember?
All we did was care for each other</p>,But the night was warm
We were bold and young
All around the wind blows
We would only hold on to let go</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>,What will we do when we get old?
Will we walk down the same road?
Will you be there by my side?
Standing strong as the waves roll over</p>,When the nights are long
Longing for you to come home
All around the wind blows
We would only hold on to let go</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>,All we need is somebody to lean on
All we need is somebody to lean on
Lean on, lean on, lean on, lean on...</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>,Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on</p>"
23,"Chorando se foi quem um dia sÃ³ me fez chorar
Chorando se foi quem um dia sÃ³ me fez chorar
Chorando estarÃ¡ ao lembrar de um amor
Que um dia nÃ£o soube cuidar
Chorando estarÃ¡ ao lembrar de um amor
Que um dia nÃ£o soube cuidar
A recordaÃ§Ã£o vai estar com ele aonde for
A recordaÃ§Ã£o vai estar pra sempre aonde eu for
Danca sol e mar guardarei no olhar
O amor faz perder encontrar
Lambando estarei ao lembrar que este amor
Por um dia um instante foi rei</p>,A recordaÃ§Ã£o vai estar com ele aonde for
A recordaÃ§Ã£o vai estar pra sempre aonde eu for
Chorando estara ao lembrar de um amor
Que um dia nÃ£o soube cuidar
CanÃ§Ã£o riso e dor melodia de amor
Um momento que fica no ar
Ai, ai, ai</p>,DanÃ§ando Lambada</p>"
24,"SÃ­ seÃ±or, efectos especiales, yea, yea, yea
SÃ­ seÃ±or, una tentaciÃ³n, yea, yea, yea</p>,TÃº y yo a la fiesta
tÃº y yoooooooo
toda la noche
TÃº y yo a la fiesta
TÃº y yooooooo... oooooooo
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
SÃ­ seÃ±or, corona de cristales, yea, yea, yea</p>,SÃ­ seÃ±or, una emociÃ³n, yea, yea, yea
tÃº y yo a la fiesta</p>,tÃº y yoooooo
toda la noche
tÃº y yo a la fiesta
tÃº y yooooooo... ooooooooo
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco</p>,La luna estaba llena, soÃ±Ã© de un palacio</p>,un paraÃ­so que se llama Paradisio.
tÃº y yo a la feista
tÃº y yoooooo
toda la noche
tÃº y yo a la feista
tÃº y yoooooo... oooooooo
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco</p>,Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Bailando, bailando, amigos adiÃ³s, adiÃ³s el silencio loco
Baile
sensual
noche
romÃ¡ntica
melodÃ­a</p>"
25,"Fuego
uoh uoh uoh
la musiica del futuroo
yeah!!</p>,Una vaina loca
que me lleva a la gloria
nunca he sentido nada como esto en mi vida</p>,Ella me descontrola
cuando estamos a solas
cuando yo siento eso es una vaina ratata</p>,Todas las noche ella me desea
contigo yo lo hago donde sea
se muere porque quiere que la pegue a la pared</p>,Le gustan los tigueres que son juguetones
quiere que le cambie de posiciones
a ella le gusta y disfruta
dura quiere que le de</p>,Una vaina loca
que me lleva a la gloria
nunca he sentido nada como esto en mi vida</p>,Ella me descontrola
cuando estamos a solas
cuando yo siento eso es una vaina ratata</p>,Diablo que buena tu ta con tu pum-pum-pum
yo voy a darte por tu pum-pum-pum
cuando te choco mami tum-tum-tum
si lo hacemos en mi carro acemos brum-brum-brum
Llevo mi tanque full
ella quiere que baje pal sur
y grita wou-wou-wou
con actitud
shory voy a darte luz</p>,Una vaina loca
que me lleva a la gloria
nunca he sentido nada como esto en mi vida
Ella me descontrola
cuando estamos a solas
cuando yo siento eso es una vaina ratata</p>,Una vaina loca
(tu me tiene loco mami)
locaa
(tu sabe)
nadie como ella en mi vida
(el manbo bacano)
me descontrola
(soy yo)
cuando estamos a solas
(F-u-e-g-o... Fuego)
es una baina ratata
(yah)</p>,Todas las noche ella me desea
contigo yo lo hago donde sea
se muere porque quiere que la pegue a la pared
Le gustan los tigueres que son juguetones
quiere que le cambie de posiciones
y le gusta y disfruta duro quiere que le de</p>,Una vaina loca
que me lleva a la gloria
nunca he sentido nada como esto en mi vida
Ella me descontrola
cuando estamos a solas
cuando yo siento eso es una vaina ratata</p>"
26,"[Chorus]
When I grow up, I wanna be like Wiz Khalifa
Have lot's of cool stuff, when I grow up
Hear my music through the speakers
I wanna feel love when I grow up
I wanna have enough to pay the bills
And buy my mom a house up on the hill
I wanna be like Wiz Khalifa
When I grow up, when I grow up</p>,[Verse 1]
Ground like I do 'em trees
There's two or few believe
You can get anything you want to achieve
And I swear to anything, tatted on my sleeve
Getting what you see, but [?] has underneath
I left plenty of positions and feelin' comfort
When shit ain't cool, [?] rough for it
But remember my name when I'm done with it
And when the said I'm done, I'll be getting top
Where the [?] is</p>,Ten toes, we the ones who quit it
Everything from the school they ain't know the smug shit
Now we talking money, talking passengers to the starship
I talin' motivation when we need to rush it
When I grow up</p>,[Chorus]
When I grow up, I wanna be like Wiz Khalifa
Have lot's of cool stuff, when I grow up
Hear my music through the speakers
I wanna feel love when I grow up
I wanna have enough to pay the bills
And buy my mom a house up on the hill
I wanna be like Wiz Khalifa
When I grow up, when I grow up</p>,[Verse 2]
[?] oh, yeah
Haters talkin' down and wishin' that I fall, yeah
Everytime I get a chance know that I ball, yeah
Anytime I need a game they right in for me
I go hard, yeah, from the start, yeah
Never try to rush and I blame my fault, yeah
Never said thing's easy they gon' make it hard, yeah
Everytime you see me looked like we've been fooled, babe
I'm a strong yeah, meet me large, yeah
[?] boss
Haven't slowing down [?]
[?]</p>,[Chorus]
When I grow up, I wanna be like Wiz Khalifa
Have lot's of cool stuff, when I grow up
Hear my music through the speakers
I wanna feel love when I grow up
I wanna have enough to pay the bills
And buy my mom a house up on the hill
I wanna be like Wiz Khalifa
When I grow up, when I grow up</p>"
27,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start</p>,They tell me I'm too young to understand
They say I'm caught up in a dream
Well, life will pass me by if I don't open up my eyes
Well, that's fine by me</p>,So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost</p>,So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost</p>,I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans</p>,Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize</p>,So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
Didn't know I was lost</p>,So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself, and I
I didn't know I was lost</p>,I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know, didn't know, didn't know</p>"
28,"[Intro]
Oh I, I just died in your arms tonight
It must have been something you said
I just died in your arms tonight</p>,[Verse 1]
I keep looking for something I can't get
Broken hearts lie all around me
And I don't see an easy way to get out of this
Her diary it sits on the bedside table
The curtains are closed, the cats in the cradle
Who would've thought that a boy like me could come to this</p>,[Hook]
Oh I, I just died in your arms tonight
It must've been something you said
I just died in your arms tonight
Oh I, I just died in your arms tonight
It must've been some kind of genius
I should've walked away, I should've walked away</p>,[Verse 2]
Is there any just cause for feeling like this?
On the surface I'm a name on a list
I try to be discreet, but then blow it again
I've lost and found, it's my final mistake
She's loving by proxy, no give and all take
Cause I've been thrilled to fantasy one too many times</p>,Oh I, I just died in your arms tonight
It must've been something you said
I just died in your arms tonight</p>,[Hook]
Oh I, I just died in your arms tonight
It must been some kind of genius
I should've walked away, I should've walked away
It was a long hot night
She made it easy, she made it feel right
But now it's over the moment has gone
I followed my hands not my head, I know I was wrong</p>,Oh I, I just died in your arms tonight
It must've been something you said
I just died in your arms tonight
Oh I, I just died in your arms tonight
It must been some kind of genius
I should've walked away, I should've walked away</p>"
29,"This will never end
'Cause I want more
More, give me more
Give me more</p>,This will never end
'Cause I want more
More, give me more
Give me more</p>,If I had a heart I could love you
If I had a voice I would sing
After the night when I wake up
I'll see what tomorrow brings</p>,Ahhhhhhh Ahhhhhhh
Ahhhhhhh Ahhhhhhh
If I had a voice, I would sing</p>,Dangling feet from window frame
Will I ever ever reach the floor?
More, give me more, give me more</p>,Crushed and filled with all I found
Underneath and inside
Just to come around
More, give me more, give me more</p>,Ahhhhhhh (Ahh) Ahhhhhhh
Ahhhhhhh (Ahhhh) Ahhhhhhh
If I had a voice, I would sing</p>"
